record_type,d_inner_mm,input_precision_note,root_kind,event_angle_deg,event_name,A_volume_cm3,B_volume_cm3,C_volume_cm3,A_min_max_state,Vmin_cm3,Vs_single_cm3,Vmax_cm3,CR,attachment_3Vmax_cm3,three_face_swept_sum_cm3,analytic_gap_mm,geometry_status,physical_interpretation
diameter_summary,132.300000000000,full double-precision input recorded; root row is not rounded before evaluation,not_a_root,,,,,,,86.193357149841,409.197003288147,495.390360437988,5.747430855684,1486.171081313963,1227.591009864442,8.850000000000,noninterfering_ideal_geometry,Conditional non-interfering ideal geometry (d < 150 mm).
diameter_summary,147.000000000000,full double-precision input recorded; root row is not rounded before evaluation,not_a_root,,,,,,,40.660318219104,409.197003288147,449.857321507251,11.063792444593,1349.571964521754,1227.591009864442,1.500000000000,noninterfering_ideal_geometry,Conditional non-interfering ideal geometry (d < 150 mm).
diameter_summary,150.000000000000,full double-precision input recorded; root row is not rounded before evaluation,not_a_root,,,,,,,31.258938942050,409.197003288147,440.455942230197,14.090559601103,1321.367826690591,1227.591009864442,0.000000000000,contact_boundary,Conditional contact boundary of the approved ideal geometry (d = 150 mm).
diameter_summary,150.010000000000,full double-precision input recorded; root row is not rounded before evaluation,not_a_root,,,,,,,31.227530134566,409.197003288147,440.424533422714,14.103726152047,1321.273600268141,1227.591009864442,-0.005000000000,entity_overlap,Nonphysical algebraic continuation: ideal-geometry entity overlap (d > 150 mm).
diameter_summary,159.872613647263,full double-precision input recorded; root row is not rounded before evaluation,algebraic_zero_clearance_root,,,,,,,0.000000000000,409.197003288147,409.197003288147,infinite,1227.591009864442,1227.591009864442,-4.936306823631,entity_overlap,Nonphysical algebraic continuation: ideal-geometry entity overlap (d > 150 mm).
diameter_summary,161.700000000000,full double-precision input recorded; root row is not rounded before evaluation,not_a_root,,,,,,,-5.844986838298,409.197003288147,403.352016449849,-69.008199266931,1210.056049349548,1227.591009864442,-5.850000000000,entity_overlap,Nonphysical algebraic continuation: ideal-geometry entity overlap (d > 150 mm).
event_angle,147.000000000000,full double-precision input recorded; root row is not rounded before evaluation,not_a_root,69.000000000000,compression_TDC_combustion_start,40.660318219104,347.558070685215,347.558070685214,minimum,40.660318219104,409.197003288147,449.857321507251,11.063792444593,1349.571964521754,1227.591009864442,1.500000000000,noninterfering_ideal_geometry,Conditional non-interfering ideal geometry (d < 150 mm).
event_angle,147.000000000000,full double-precision input recorded; root row is not rounded before evaluation,not_a_root,339.000000000000,exhaust_opening,449.857321507251,142.959569041141,142.959569041141,maximum,40.660318219104,409.197003288147,449.857321507251,11.063792444593,1349.571964521754,1227.591009864442,1.500000000000,noninterfering_ideal_geometry,Conditional non-interfering ideal geometry (d < 150 mm).
event_angle,147.000000000000,full double-precision input recorded; root row is not rounded before evaluation,not_a_root,609.000000000000,intake_opening,40.660318219104,347.558070685215,347.558070685215,minimum,40.660318219104,409.197003288147,449.857321507251,11.063792444593,1349.571964521754,1227.591009864442,1.500000000000,noninterfering_ideal_geometry,Conditional non-interfering ideal geometry (d < 150 mm).
event_angle,147.000000000000,full double-precision input recorded; root row is not rounded before evaluation,not_a_root,879.000000000000,intake_closing_compression_start,449.857321507251,142.959569041141,142.959569041141,maximum,40.660318219104,409.197003288147,449.857321507251,11.063792444593,1349.571964521754,1227.591009864442,1.500000000000,noninterfering_ideal_geometry,Conditional non-interfering ideal geometry (d < 150 mm).
event_angle,147.000000000000,full double-precision input recorded; root row is not rounded before evaluation,not_a_root,1149.000000000000,next_compression_TDC,40.660318219104,347.558070685214,347.558070685215,minimum,40.660318219104,409.197003288147,449.857321507251,11.063792444593,1349.571964521754,1227.591009864442,1.500000000000,noninterfering_ideal_geometry,Conditional non-interfering ideal geometry (d < 150 mm).
